name,hq,data_filings,median_wage,naics,relevant_title,score
Advertising Specialty Institute,"Trevose, PA",1,116133,54189,Data Scientist,28.4
"Advocado, Inc.","St. Louis, MO",1,666602,541910,Junior Data Scientist,47.5
"Advocate Aurora Health, Inc.","Milwaukee, WI",1,195000,62111,Director Cloud Analytics Services,46.4
"Advocate Health, LLC","Venice, FL",1,80205,524210,Salesforce Administrator/Data Analyst,22.5
"AEC Group, LLC","Pittsburgh, PA",1,57000,541519,Business Intelligence Analyst,22.5
"AEGIS Insurance Services, Inc.","East Rutherford, NJ",1,169229,524210,Lead Business Systems Analyst,40.5
"Aegis Therapies, Inc.","Ft. Smith, AR",1,116064,62134,Enterprise Business Intelligence Developer,28.4
"Aegon USA Realty Advisors, LLC","Cedar Rapids, IA",1,107062,5241,Sr. Programmer Analyst,26.4
"AEP Energy Partners, Inc","Columbus, OH",1,95000,221122,Forecast Analyst Senior,23.6
"AERCO International, Inc.","Blauvelt, NY",1,111966,33241,Supply Chain Business Analyst,27.5
Aeroxchange Ltd.,"Farmers Branch, TX",1,133241,518210,Senior Data Warehousing Analyst,32.3
"AES U.S. Services, LLC","Arlington, VA",1,98880,22111,Advanced Analytics & Modeling Engineer,24.5
Aescape Inc.,"New York, NY",1,130000,54151,Business Analyst,31.6
Aesthetemed LLC,"Hallandale Beach, FL",1,73299,621399,Management Analyst,22.5
Aetna International LLC,"Woonsocket, RI",1,100162,524114,Senior Data Engineer,24.8
"AF NEWCO, INC.","Ringgold, VA",1,85000,111219,Business Data Analyst,22.5
"AFC Cable Systems, Inc","New Bedford, MA",1,80000,331210,Inventory Control Analyst,22.5
"AFCO Performance Group, LLC","Boonville, IN",1,64043,3336,Senior Business Data Analyst,22.5
"AFE, Inc.","Milwaukee, WI",1,78000,334111,Data Scientist,22.5
"Affinity Insurance Services, Inc.","Chicago, IL",1,114400,524210,It Test Analyst,28.0
"AFFORDABLE CARE, LLC","Morrisville, NC",1,140109,6212,"Senior Director, Marketing Data & Analytics",33.9
AFK MEDIA GROUP CORP,"Weston, FL",1,,541810,Business Data Analyst,22.5
"AfroHealth, Inc.","Oklahoma City, OK",1,70000,561330,Healthcare Ai And Informatics Specialist,22.5
AG Mednet Inc.,"Boston, MA",1,84157,541511,Software Quality Assurance Analyst Ii,22.5
"AgCertain Operations Group, LLC","Ames, IA",1,72613,32519,"Analyst Ii, Quality Assurance",22.5
Agha Medical Ltd.,"Joliet, IL",1,83616,62111,Computer Systems Analyst,22.5
AGI Odyssey,"Vienna, VA",1,85000,813920,Business Analyst,22.5
"AGILANT SOLUTIONS, INC.","Port Washington, NY",1,,54151,It Analyst,22.5
Agile People and Payroll LLC,"Richardson, TX",1,,524210,Data Engineer,22.5
"Agile Sports Technologies, Inc.","Lincoln, NE",1,117000,51121,Data Engineer,28.6
"Agility CIS, Inc","The Woodlands, TX",1,89419,541511,Senior Business Analyst,22.5
"Agilysys, Inc.","Alpharetta, GA",1,110000,513210,Senior Lead Systems Analyst,27.0
Agisol LLC,"Marriottsville, MD",1,,541511,Senior Data Engineer,22.5
AGM INFRA SOLUTIONS INC.,"Plano, TX",1,92040,541511,Data Engineer,23.0
Agraga Technologies Inc.,"Irving, TX",1,87360,541511,Salesforce System Business Analyst,22.5
"Agralytica, Inc.","Alexandria, VA",1,62500,541614,Analyst,22.5
AGRI GENERAL INSURANCE SERVICE INC.,"Johnston, IA",1,110881,524126,Research Scientist,27.2
AgZen Inc.,"Somerville, MA",1,150000,33311,Senior Machine Learning Engineer,36.1
"AhaApps, LLC","Richmond, VA",1,100818,5415,Data Analyst,25.0
AHB US LLC,"Princeton, NJ",1,74000,424210,Supply Chain Analyst,22.5
"AHS Sherman, LLC","Sherman, TX",1,63648,622110,Applications Analyst,22.5
"Ahwatukee Mega Furniture, LLC","Austin, TX",1,120000,4421,Sr. Supply Chain Management Analyst,29.3
"AI ENGINEERS, INC.","Middletown, CT",1,137280,541330,Management Analyst,33.2
Ai Software LLC,"St. Louis, MO",1,96866,518210,"Software Engineer, Ai",24.1
"AI Thinkers, LLC","St. Louis Park, MN",1,89500,54151,Business Analyst,22.5
AIBao LLC,"Dover, DE",1,125000,541512,Machine Learning Specialist (Model Optimization),30.5
AIBES LLC,"Louisville, KY",1,76500,541519,Ai Data Engineer,22.5
AICTEX Inc.,"Worcester, MA",1,55000,4581,Market Analyst,22.5
"Aidar Health, Inc.","Columbia, MD",1,80995,339112,Data Analyst,22.5
AIDAS TECHNOLOGIES INC.,"Houston, TX",1,85000,541511,Business Intelligence Developer,22.5
AIDATA MONKS INC,"Farmers Branch, TX",1,82200,541511,Azure Data Engineer,22.5
AIG Global Asset Management Holdings Corp.,"Jersey City, NJ",1,134869,5241,Senior Data Engineer,32.7
"AIG Global Operations, Inc.","Jersey City, NJ",1,154000,5241,"Vice President, Data Platform Engineering",37.0
Aigo.ai Inc.,"Austin, TX",1,51000,541512,Ai Dashboard Administrator,22.5
AIK TECNOLOGY SERVICES CORP,"Naperville, IL",1,81744,541511,Software Engineer - Ai,22.5
aiLegal Law & Lu LLP,"Atlanta, GA",1,,541110,Legal Operations Analyst,22.5
"aiMai.ai, Inc.","Chevy Chase, MD",1,,541511,Chief Scientist,22.5
